article_id,tweet_id,relevance_score,tweet
00ecb565-8dcb-443e-875c-71babdce2269,6.38637E+17,0,Video:  Shippers look to grab a piece of Northwest Passage http://t.co/oXfsajtBtl http://t.co/RwvGKG3rue
00ecb565-8dcb-443e-875c-71babdce2269,6.38728E+17,1,"Police say woman was driving drunk with kids in the car, and drugs in the car. Oh, and she was pregnant. http://t.co/LlzxxQOuY2"
00ecb565-8dcb-443e-875c-71babdce2269,6.39044E+17,1,Hit-and-Run Driver Seriously Injures Man in Portola District: A man suffered serious injuries when a hit-and-run… http://t.co/2g0GtYFWld
00ecb565-8dcb-443e-875c-71babdce2269,6.39219E+17,0,#UPDATE: Man in critical condition after being shot in the head near Northwest High School. http://t.co/UX93EklOM1
00ecb565-8dcb-443e-875c-71babdce2269,6.39326E+17,1,A Barrie woman that was run over by a drunk driver has filed a lawsuit against the driver and bar that served him. http://t.co/sghm0ZBz4F
00ecb565-8dcb-443e-875c-71babdce2269,6.39363E+17,0,This photo proves that there are never-ending sights in the Northwest Territories! Photo by @straker101 http://t.co/F7WZ3Z6uC7
00ecb565-8dcb-443e-875c-71babdce2269,6.39485E+17,1,"A man was hit by a car while trying to chase after a drunk driver, cops say http://t.co/31871Zp3ep http://t.co/ZNGHjEvWYX"
00ecb565-8dcb-443e-875c-71babdce2269,6.3949E+17,0,@christopherokey the ruling was that he swung and missed and the ball hit him but it was still a strikeout
00ecb565-8dcb-443e-875c-71babdce2269,6.39535E+17,0,"""My friend was doing CPR on him. He took a couple of breaths and then the paramedics came,"" she said."
00ecb565-8dcb-443e-875c-71babdce2269,6.39662E+17,1,RT @Ama_A_Asmah: The women who got out of her car to help male died on scene. The driver of the car which hit woman stayed on scene.
00ecb565-8dcb-443e-875c-71babdce2269,6.39662E+17,1,RT @Ama_A_Asmah: The women who got out of her car to help male died on scene. The driver of the car which hit woman stayed on scene.
00ecb565-8dcb-443e-875c-71babdce2269,6.39791E+17,1,"JUST IN: Suspect identified after pedestrian was hit, killed in police chase http://t.co/l46PQbM8cZ #chsnews"
00ecb565-8dcb-443e-875c-71babdce2269,6.39854E+17,1,Escondido DUI hit-and-run suspect pulls knife on Good Samaritans: http://t.co/6koBuLYj65
00ecb565-8dcb-443e-875c-71babdce2269,6.39973E+17,0,Nick Swisher's pinch-hit single to right field scores Freddie Freeman and the #Braves take a 2-1 lead.
00ecb565-8dcb-443e-875c-71babdce2269,6.4061E+17,1,"Hit-and-run driver speeds away from car crash, dies mid-getaway http://t.co/PFcoBaMJT6"
