article_id,tweet_id,relevance_score,tweet,clean_text
00ecb565-8dcb-443e-875c-71babdce2269,6.38637e+17,0,Video:  Shippers look to grab a piece of Northwest Passage http://t.co/oXfsajtBtl http://t.co/RwvGKG3rue,video shipper look to grab a piec of northwest passag http http
00ecb565-8dcb-443e-875c-71babdce2269,6.38728e+17,1,"Police say woman was driving drunk with kids in the car, and drugs in the car. Oh, and she was pregnant. http://t.co/LlzxxQOuY2",polic say woman wa drive drunk with kid in the car and drug in the car oh and she wa pregnant http
00ecb565-8dcb-443e-875c-71babdce2269,6.39044e+17,1,Hit-and-Run Driver Seriously Injures Man in Portola District: A man suffered serious injuries when a hit-and-run… http://t.co/2g0GtYFWld,driver serious injur man in portola district a man suffer seriou injuri when a http
00ecb565-8dcb-443e-875c-71babdce2269,6.39219e+17,0,#UPDATE: Man in critical condition after being shot in the head near Northwest High School. http://t.co/UX93EklOM1,updat man in critic condit after be shot in the head near northwest high school http
00ecb565-8dcb-443e-875c-71babdce2269,6.39326e+17,1,A Barrie woman that was run over by a drunk driver has filed a lawsuit against the driver and bar that served him. http://t.co/sghm0ZBz4F,a barri woman that wa run over by a drunk driver ha file a lawsuit against the driver and bar that serv him http
00ecb565-8dcb-443e-875c-71babdce2269,6.39363e+17,0,This photo proves that there are never-ending sights in the Northwest Territories! Photo by @straker101 http://t.co/F7WZ3Z6uC7,thi photo prove that there are sight in the northwest territori photo by http
00ecb565-8dcb-443e-875c-71babdce2269,6.39485e+17,1,"A man was hit by a car while trying to chase after a drunk driver, cops say http://t.co/31871Zp3ep http://t.co/ZNGHjEvWYX",a man wa hit by a car while tri to chase after a drunk driver cop say http http
00ecb565-8dcb-443e-875c-71babdce2269,6.3949e+17,0,@christopherokey the ruling was that he swung and missed and the ball hit him but it was still a strikeout,christopherokey the rule wa that he swung and miss and the ball hit him but it wa still a strikeout
00ecb565-8dcb-443e-875c-71babdce2269,6.39535e+17,0,"""My friend was doing CPR on him. He took a couple of breaths and then the paramedics came,"" she said.",my friend wa do cpr on him he took a coupl of breath and then the paramed came she said
00ecb565-8dcb-443e-875c-71babdce2269,6.39662e+17,1,RT @Ama_A_Asmah: The women who got out of her car to help male died on scene. The driver of the car which hit woman stayed on scene.,rt the women who got out of her car to help male die on scene the driver of the car which hit woman stay on scene
00ecb565-8dcb-443e-875c-71babdce2269,6.39662e+17,1,RT @Ama_A_Asmah: The women who got out of her car to help male died on scene. The driver of the car which hit woman stayed on scene.,rt the women who got out of her car to help male die on scene the driver of the car which hit woman stay on scene
00ecb565-8dcb-443e-875c-71babdce2269,6.39791e+17,1,"JUST IN: Suspect identified after pedestrian was hit, killed in police chase http://t.co/l46PQbM8cZ #chsnews",just in suspect identifi after pedestrian wa hit kill in polic chase http chsnew
